Year,Period,TDI_China,HHI,SCRS
2007,Baseline,13.052854760292396,909.6081540694803,75.54503769000434
2008,Baseline,13.470859369360799,802.9552205122127,79.56880673110157
2009,Baseline,13.1237958918998,661.5905731395367,85.93435386861535
2010,Baseline,14.390360121787287,661.3564219059222,84.62965716147995
2011,Baseline,14.176103062676518,627.8289399519974,86.8092929900315
2012,Baseline,12.668539473896953,557.7722893450374,91.93270168498064
2013,Baseline,13.849963345926971,581.2283643244114,90.42025685811187
2014,Baseline,15.236346174845314,597.0797201556908,89.35212717254433
2015,Baseline,18.012395972760075,671.9207113811863,84.68524965875449
2016,Baseline,19.107728250926005,704.6950771453285,82.95267114228409
2017,Baseline,17.54159366753302,632.95583223913,85.47819699207471
2018,Baseline,17.877283657893713,647.1818085932848,85.05220441500065
2019,Baseline,18.55715586880754,665.3121182058337,84.2132104135949
2020,Intervention,20.79122554100111,728.5547037326114,80.8954171497981
2021,Intervention,20.07557727186033,687.4845542933828,83.24926040324924
2022,Intervention,21.717896009232714,736.4151553864529,80.07341538472924
2023,Intervention,22.761820310801127,796.1727172052173,77.27461699134676
2024,Intervention,23.94060828499349,871.3792530191398,74.41423778344794
