Year,Partner_ISO,Partner_Name,Import_Share
2007,CHN,China,13.052854760292396
2007,USA,United States,8.850816290806508
2007,ARE,UAE,0.0
2007,SAU,Saudi Arabia,0.5915352064145238
2007,IRQ,Iraq,0.0
2007,CHE,Switzerland,6.698920926865874
2007,KOR,South Korea,3.581888250195892
2007,JPN,Japan,3.340846328521789
2007,DEU,Germany,5.339193267613325
2007,SGP,Singapore,6.055695870863517
2008,CHN,China,13.470859369360799
2008,USA,United States,7.395261105590231
2008,ARE,UAE,2.080489176329828
2008,SAU,Saudi Arabia,0.5479312344870775
2008,IRQ,Iraq,0.0
2008,CHE,Switzerland,6.006758876991237
2008,KOR,South Korea,3.8286307019111385
2008,JPN,Japan,3.3673515430580365
2008,DEU,Germany,5.17230077344588
2008,SGP,Singapore,5.321999519685381
2009,CHN,China,13.123795891899803
2009,USA,United States,6.471613129446075
2009,ARE,UAE,2.632656121978856
2009,SAU,Saudi Arabia,0.527148644212483
2009,IRQ,Iraq,0.0
2009,CHE,Switzerland,5.158718105928402
2009,KOR,South Korea,3.544893313030606
2009,JPN,Japan,2.8039881969987457
2009,DEU,Germany,5.011145537862614
2009,SGP,Singapore,4.143528243879572
2010,CHN,China,14.390360121787287
2010,USA,United States,5.775209774181717
2010,ARE,UAE,2.6785288819429387
2010,SAU,Saudi Arabia,0.6027764142456253
2010,IRQ,Iraq,0.0
2010,CHE,Switzerland,0.8668536480961097
2010,KOR,South Korea,4.0218047656278255
2010,JPN,Japan,3.1803475903024054
2010,DEU,Germany,4.355041779498451
2010,SGP,Singapore,4.70730068288562
2011,CHN,China,14.176103062676518
2011,USA,United States,4.932783416033379
2011,ARE,UAE,2.7676884596134617
2011,SAU,Saudi Arabia,0.6189129255970914
2011,IRQ,Iraq,0.0
2011,CHE,Switzerland,0.9438589176827815
2011,KOR,South Korea,3.5496287073154145
2011,JPN,Japan,3.107478472750314
2011,DEU,Germany,4.261097667706417
2011,SGP,Singapore,4.017070740918922
2012,CHN,China,12.668539473896953
2012,USA,United States,4.9804867257876
2012,ARE,UAE,2.4423542699552763
2012,SAU,Saudi Arabia,0.6495234145538218
2012,IRQ,Iraq,0.0
2012,CHE,Switzerland,8.137924192884086
